Altium Designer Pick and Place Locations
E:\aKaReZa\#gitHub\eBoard_M66\Quectel M66\Project Outputs for Quectel M66\Generates pick and place files\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       28/06/25
Time:       06:55
Revision:   85fa1b9bbe1f799c0cebe5c0c5393c286101752f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"JP1","Jumper","BottomLayer","RESC2012M_(0805)","7.6200","18.9230","270","Jumper Component"
"J5","3","TopLayer","HDR_THT_3M_2.54mm","45.7200","47.4980","90","Header, single row, 3 pin"
"J4","16b","TopLayer","USBC_SMD_16_USB4110_-_Extended","26.4360","5.2689","180","USB C Female Connector"
"JP5","0b","TopLayer","jumper_selector","42.4180","15.4940","90","Jumper Selector"
"JP4","0b","TopLayer","jumper_selector","45.8470","15.4940","90","Jumper Selector"
"U2","CH340N","TopLayer","SO8_narrow_m","26.5430","16.6370","0","TTL To USB Chip"
"R8","1K","TopLayer","RES_0805_(2012X06L)","42.5450","8.9100","90","Resistor"
"R7","1K","TopLayer","RES_0805_(2012X06L)","44.4562","8.9100","90","Resistor"
"R9","5.6K","TopLayer","RES_0805_(2012X06L)","46.3673","8.9100","90","Resistor"
"R24","1K","BottomLayer","RES_0805_(2012X06L)","34.4510","14.2240","180","Resistor"
"R23","560b","BottomLayer","RES_0805_(2012X06L)","34.4560","17.7800","180","Resistor"
"R21","560b","BottomLayer","RES_0805_(2012X06L)","34.4510","16.0020","180","Resistor"
"R13","4.7K","BottomLayer","RES_0805_(2012X06L)","27.6860","3.0090","90","Resistor"
"R12","4.7K","BottomLayer","RES_0805_(2012X06L)","24.7650","2.9550","90","Resistor"
"F1","0.25A","TopLayer","1206_F","34.9250","6.2230","90","Short circiut  protection"
"C27","10n","TopLayer","CAP_0805/2012","24.4094","20.9550","180","Bipolar ceramic capacitor SMD"
"C26","DS1307","TopLayer","CAP_0805/2012","30.7594","12.7000","180","Bipolar ceramic capacitor SMD"
"C25","DS1307","TopLayer","SMT_C_Tantalum_A","31.4960","10.4140","180","Tantalum Capacitor,TAJ Series-SMD"
"D3","SMF-05","BottomLayer","SC70-5_N","36.3220","28.8290","180","TVS Diode Array"
"C24","4.7u","TopLayer","SMT_C_Tantalum_A","37.3380","61.0870","270","Tantalum Capacitor,TAJ Series-SMD"
"TP3","TestPoint","TopLayer","TP_SMD_1x2","1.3970","47.7520","90","Test Point"
"TP2","TestPoint","TopLayer","TP_SMD_1x2","1.3970","50.3555","90","Test Point"
"TP1","TestPoint","TopLayer","TP_SMD_1x2","1.3970","52.9590","90","Test Point"
"MK1","Mic","TopLayer","mic6","23.1775","34.1630","180","Microphone"
"D6","SM712","BottomLayer","SOT23_M","23.1800","37.6760","90","TVS, ESD PROTECT, 2CH, 400W/17A PP, 7.5VBR, ±8KV ESDmin"
"C23","33p","TopLayer","CAP_0603/1608","19.6850","37.5920","180","Bipolar ceramic capacitor SMD"
"C22","10p","TopLayer","CAP_0603/1608","19.6850","39.3700","180","Bipolar ceramic capacitor SMD"
"C21","33p","TopLayer","CAP_0603/1608","23.1340","37.5920","180","Bipolar ceramic capacitor SMD"
"C20","10p","TopLayer","CAP_0603/1608","23.1340","39.3700","180","Bipolar ceramic capacitor SMD"
"C19","33p","TopLayer","CAP_0603/1608","26.5830","37.5920","180","Bipolar ceramic capacitor SMD"
